City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Russell,32.3502,-85.1999,74.91,90,40,8.05,US,1624133565
Chokurdakh,70.6333,147.9167,61.21,42,79,10.74,RU,1624133566
São João del Rei,-21.1356,-44.2617,63.21,77,100,10.25,BR,1624133566
Show Low,34.2542,-110.0298,97.07,13,1,6.91,US,1624133566
Saldanha,-33.0117,17.9442,65.44,44,16,8.23,ZA,1624133567
Busselton,-33.65,115.3333,56.08,79,100,10.04,AU,1624133567
Rudnyy,52.9594,63.1206,58.8,73,100,9.93,KZ,1624133567
Bonnyville,54.2668,-110.735,63.82,56,93,7.29,CA,1624133399
Bredasdorp,-34.5322,20.0403,58.39,47,47,4.7,ZA,1624133567
Golden,39.7555,-105.2211,84.2,48,75,5.01,US,1624133568
Vaini,-21.2,-175.2,74.16,71,100,9.13,TO,1624133568
Berlevåg,70.8578,29.0864,44.26,86,98,5.32,NO,1624133568
Rocha,-34.4833,-54.3333,51.37,93,95,6.04,UY,1624133318
Chui,-33.6971,-53.4616,54.25,95,100,7.02,UY,1624133568
Airai,-8.9266,125.4092,56.73,94,79,3.44,TL,1624133278
Puerto Ayora,-0.7393,-90.3518,80.56,84,69,8.99,EC,1624133569
Lebu,-37.6167,-73.65,52.45,64,95,5.97,CL,1624133569
Punta Arenas,-53.15,-70.9167,44.11,81,90,16.11,CL,1624133377
Port Elizabeth,-33.918,25.5701,52.09,93,40,2.3,ZA,1624133569
Butaritari,3.0707,172.7902,81.59,72,34,2.39,KI,1624133569
Castro,-24.7911,-50.0119,54.61,98,100,2.44,BR,1624133570
Namatanai,-3.6667,152.4333,78.12,82,10,4.81,PG,1624133570
Saskylakh,71.9167,114.0833,71.98,48,47,7.29,RU,1624133570
Emba,48.8264,58.1442,67.46,42,0,6.29,KZ,1624133570
Padang,-0.9492,100.3543,75.74,82,90,4.03,ID,1624133571
Nikolskoye,59.7035,30.7861,73.29,69,5,4.05,RU,1624133571
Talnakh,69.4865,88.3972,43.57,97,99,3.24,RU,1624133483
Tazovsky,67.4667,78.7,40.96,75,99,5.23,RU,1624133571
Korla,41.7597,86.1469,73.42,27,8,5.59,CN,1624133571
Luanda,-8.8368,13.2343,75.2,83,20,9.22,AO,1624133572
Fortuna,40.5982,-124.1573,71.92,67,1,3.0,US,1624133549
Rikitea,-23.1203,-134.9692,74.46,77,9,21.5,PF,1624133572
Saint Paul Harbor,57.79,-152.4072,49.51,93,90,12.66,US,1624133572
Bathsheba,13.2167,-59.5167,86.61,66,40,14.97,BB,1624133283
Hermanus,-34.4187,19.2345,63.43,47,19,7.67,ZA,1624133573
Dikson,73.5069,80.5464,31.39,84,57,6.67,RU,1624133573
Juneau,58.3019,-134.4197,67.84,72,20,9.22,US,1624133573
Neckarsulm,49.1928,9.2261,82.35,82,21,6.35,DE,1624133573
Caravelas,-17.7125,-39.2481,72.34,70,50,10.11,BR,1624133574
Trelew,-43.249,-65.3051,49.06,46,2,11.27,AR,1624133287
Nadym,65.5333,72.5167,47.57,74,31,10.25,RU,1624133574
Laas,46.6166,10.7002,75.11,83,72,2.98,IT,1624133574
Esperance,-33.8667,121.9,53.37,58,100,16.96,AU,1624133575
Tuatapere,-46.1333,167.6833,30.81,90,2,3.49,NZ,1624133288
Adrar,20.5022,-10.0711,90.48,14,0,11.68,MR,1624133575
Barrow,71.2906,-156.7887,39.22,75,1,11.5,US,1624133575
Pacific Grove,36.6177,-121.9166,95.29,78,1,5.99,US,1624133575
Lázaro Cárdenas,17.9583,-102.2,79.38,84,100,9.6,MX,1624133358
Hastings,50.8552,0.5729,58.91,95,100,18.34,GB,1624133334
Kapaa,22.0752,-159.319,82.72,73,40,1.01,US,1624133470
Maracaibo,10.6317,-71.6406,91.51,53,11,11.16,VE,1624133576
Cape Town,-33.9258,18.4232,59.11,39,40,5.55,ZA,1624133576
Hambantota,6.1241,81.1185,80.08,77,98,16.91,LK,1624133576
Albany,42.6001,-73.9662,85.64,45,100,9.01,US,1624133577
Port Hedland,-20.3167,118.5667,59.05,82,0,8.05,AU,1624133577
Turinsk,58.0458,63.696,56.84,99,100,7.72,RU,1624133577
Leningradskiy,69.3833,178.4167,41.0,87,91,4.88,RU,1624133577
Kieta,-6.2167,155.6333,76.93,82,4,2.64,PG,1624133578
Longyearbyen,78.2186,15.6401,40.84,70,75,24.16,SJ,1624133578
Thunder Bay,48.4001,-89.3168,57.56,68,100,5.66,CA,1624133520
Pavino,59.1139,46.1414,64.49,80,6,5.3,RU,1624133578
New Norfolk,-42.7826,147.0587,46.65,86,93,2.39,AU,1624133578
Mataura,-46.1927,168.8643,30.47,98,26,1.9,NZ,1624133579
Tateyama,34.9833,139.8667,73.15,97,100,7.14,JP,1624133579
Kulhudhuffushi,6.6221,73.07,82.08,78,100,15.52,MV,1624133579
Hobart,-42.8794,147.3294,47.01,93,75,3.44,AU,1624133579
Bengkulu,-3.8004,102.2655,75.49,85,98,4.0,ID,1624133580
Bikin,46.8161,134.26,50.88,88,100,3.71,RU,1624133580
Celestún,20.8667,-90.4,88.59,56,60,4.14,MX,1624133580
Barcelos,41.5388,-8.6151,60.85,84,100,6.04,PT,1624133580
Mossamedes,-15.1961,12.1522,68.4,73,5,8.81,AO,1624133581
Sola,-13.8833,167.55,80.17,79,81,11.95,VU,1624133581
Valleyview,55.0667,-117.2859,63.95,62,30,11.88,CA,1624133581
Tahe,52.3333,124.7333,50.72,99,46,3.0,CN,1624133581
Fuzhou,26.0614,119.3061,78.8,98,100,0.16,CN,1624133582
Bluff,-46.6,168.3333,30.79,89,13,8.66,NZ,1624133582
Provideniya,64.3833,-173.3,54.79,58,23,3.09,RU,1624133323
Khatanga,71.9667,102.5,58.23,73,15,5.73,RU,1624133582
Lüderitz,-26.6481,15.1594,67.68,40,20,2.77,NA,1624133582
Kjøllefjord,70.9457,27.3465,43.36,83,98,3.76,NO,1624133583
Yellowknife,62.456,-114.3525,53.56,46,16,5.99,CA,1624133583
